Company,City_Mpg,Fuel_Type,Highway_Mpg,Classification,Model Year,Year,Price
Volvo,21,Gasoline,30,Automatic transmission,2011 Volvo V50,2011,2069922
Volvo,20,Gasoline,26,Manual transmission,2010 Volvo V50,2010,2490065
Volvo,20,Gasoline,31,Automatic transmission,2010 Volvo V50,2010,1114275
Volvo,17,Gasoline,22,Automatic transmission,2011 Volvo XC60,2011,1006468
Volvo,18,Gasoline,25,Automatic transmission,2011 Volvo XC60,2011,2832018
Volvo,16,Gasoline,21,Automatic transmission,2010 Volvo XC60,2010,1138056
Volvo,18,Gasoline,27,Automatic transmission,2010 Volvo XC60,2010,928257
Volvo,18,Gasoline,25,Automatic transmission,2011 Volvo XC70,2011,1224162
Volvo,17,Gasoline,22,Automatic transmission,2011 Volvo XC70,2011,2333837
Volvo,16,Gasoline,21,Automatic transmission,2010 Volvo XC70,2010,1424345
Volvo,16,Gasoline,22,Automatic transmission,2010 Volvo XC70,2010,660394
Toyota,17,Gasoline,23,Automatic transmission,2011 Toyota 4Runner,2011,891545
Toyota,17,Gasoline,22,Automatic transmission,2011 Toyota 4Runner,2011,1172070
Toyota,17,Gasoline,22,Automatic transmission,2011 Toyota 4Runner,2011,1391612
Toyota,17,Gasoline,23,Automatic transmission,2011 Toyota 4Runner,2011,1047496
Toyota,17,Gasoline,22,Automatic transmission,2011 Toyota 4Runner,2011,914070
Volvo,16,Gasoline,22,Automatic transmission,2011 Volvo XC90,2011,2150488
Volvo,14,Gasoline,21,Automatic transmission,2011 Volvo XC90,2011,1014078
Volvo,15,Gasoline,22,Automatic transmission,2010 Volvo XC90,2010,849621
Volvo,13,Gasoline,19,Automatic transmission,2010 Volvo XC90,2010,715487
Volvo,18,Gasoline,27,Automatic transmission,2010 Volvo V70,2010,2834762
Toyota,18,Gasoline,23,Automatic transmission,2010 Toyota 4Runner,2010,912839
Toyota,17,Gasoline,23,Automatic transmission,2010 Toyota 4Runner,2010,1661035
Toyota,17,Gasoline,22,Automatic transmission,2010 Toyota 4Runner,2010,1810179
Toyota,17,Gasoline,22,Automatic transmission,2010 Toyota 4Runner,2010,570955
Toyota,17,Gasoline,23,Automatic transmission,2010 Toyota 4Runner,2010,2024733
Toyota,17,Gasoline,22,Automatic transmission,2010 Toyota 4Runner,2010,1811677
Audi,21,Gasoline,30,Manual transmission,2012 Audi A3,2012,1886351
Honda,17,Gasoline,25,Manual transmission,2010 Honda Accord Coupe,2010,2551989
Honda,21,Gasoline,31,Automatic transmission,2010 Honda Accord Coupe,2010,612389
Honda,22,Gasoline,31,Manual transmission,2010 Honda Accord Coupe,2010,782281
Honda,21,Gasoline,31,Automatic transmission,2010 Honda Accord Coupe,2010,2196195
Honda,19,Gasoline,28,Automatic transmission,2010 Honda Accord Coupe,2010,935318
Honda,22,Gasoline,31,Manual transmission,2010 Honda Accord Coupe,2010,1445301
Honda,21,Gasoline,31,Automatic transmission,2010 Honda Accord Coupe,2010,1344450
Honda,22,Gasoline,31,Manual transmission,2010 Honda Accord Coupe,2010,1881073
Nissan,18,Gasoline,25,Manual transmission,2011 Nissan 370Z Roadster,2011,2951324
Nissan,18,Gasoline,25,Automatic transmission,2011 Nissan 370Z Roadster,2011,2836023
Nissan,18,Gasoline,25,Manual transmission,2011 Nissan 370Z Roadster,2011,1273224
Nissan,18,Gasoline,25,Automatic transmission,2011 Nissan 370Z Roadster,2011,2550494
Nissan,18,Gasoline,25,Manual transmission,2010 Nissan 370Z Roadster,2010,1638446
Nissan,18,Gasoline,25,Manual transmission,2010 Nissan 370Z Roadster,2010,2028409
Nissan,18,Gasoline,25,Automatic transmission,2010 Nissan 370Z Roadster,2010,1074261
Nissan,18,Gasoline,25,Automatic transmission,2010 Nissan 370Z Roadster,2010,530164
Audi,21,Gasoline,30,Manual transmission,2011 Audi A3,2011,537009
Nissan,18,Gasoline,26,Manual transmission,2011 Nissan 370Z Coupe,2011,758585
Nissan,18,Gasoline,26,Manual transmission,2011 Nissan 370Z Coupe,2011,1100173
Nissan,19,Gasoline,26,Automatic transmission,2011 Nissan 370Z Coupe,2011,2019935
Nissan,18,Gasoline,26,Manual transmission,2011 Nissan 370Z Coupe,2011,511304
Audi,21,Gasoline,30,Manual transmission,2010 Audi A3,2010,1788451
Nissan,19,Gasoline,26,Automatic transmission,2010 Nissan 370Z Coupe,2010,1065067
Nissan,18,Gasoline,26,Manual transmission,2010 Nissan 370Z Coupe,2010,1717286
Nissan,18,Gasoline,26,Manual transmission,2010 Nissan 370Z Coupe,2010,530571
Nissan,19,Gasoline,26,Automatic transmission,2010 Nissan 370Z Coupe,2010,2368415
Audi,21,Gasoline,31,Manual transmission,2012 Audi A4 Sedan,2012,2285169
Audi,21,Gasoline,29,Automatic transmission,2012 Audi A4 Sedan,2012,2982852
Audi,21,Gasoline,31,Manual transmission,2011 Audi A4 Sedan,2011,648661
Audi,21,Gasoline,29,Automatic transmission,2011 Audi A4 Sedan,2011,1626891
Ford,29,Gasoline,38,Manual transmission,2012 Ford Fiesta Sedan,2012,2932824
Ford,29,Gasoline,38,Manual transmission,2012 Ford Fiesta Sedan,2012,647885
Ford,29,Gasoline,38,Manual transmission,2012 Ford Fiesta Sedan,2012,2962158
Ford,38,Gasoline,37,Manual transmission,2011 Ford Fiesta Sedan,2011,1655870
Ford,28,Gasoline,37,Manual transmission,2011 Ford Fiesta Sedan,2011,2866474
Ford,28,Gasoline,37,Manual transmission,2011 Ford Fiesta Sedan,2011,2372768
Volvo,21,Gasoline,30,Automatic transmission,2011 Volvo C30,2011,1908725
Volvo,21,Gasoline,29,Manual transmission,2011 Volvo C30,2011,924085
Volvo,21,Gasoline,30,Automatic transmission,2010 Volvo C30,2010,2684889
Volvo,21,Gasoline,29,Manual transmission,2010 Volvo C30,2010,565175
Audi,21,Gasoline,27,Automatic transmission,2010 Audi A4 Sedan,2010,2014806
Audi,22,Gasoline,30,Manual transmission,2010 Audi A4 Sedan,2010,1447531
Volvo,21,Gasoline,29,Automatic transmission,2010 Volvo S40,2010,1609837
Volvo,20,Gasoline,27,Automatic transmission,2010 Volvo S40,2010,806277
Audi,21,Gasoline,29,Automatic transmission,2012 Audi A4 Avant,2012,933107
Audi,21,Gasoline,29,Automatic transmission,2011 Audi A4 Avant,2011,2686108
Audi,23,Gasoline,30,Automatic transmission,2010 Audi A4 Avant,2010,694602
Honda,23,Gasoline,32,Manual transmission,2011 Honda Accord Coup,2011,2724427
Honda,22,Gasoline,33,Automatic transmission,2011 Honda Accord Coup,2011,1054266
Honda,17,Gasoline,26,Manual transmission,2011 Honda Accord Coup,2011,1475546
Honda,23,Gasoline,32,Manual transmission,2011 Honda Accord Coup,2011,2885828
Honda,19,Gasoline,29,Automatic transmission,2011 Honda Accord Coup,2011,571904
Honda,22,Gasoline,33,Automatic transmission,2011 Honda Accord Coup,2011,1193722
Honda,22,Gasoline,33,Automatic transmission,2011 Honda Accord Coup,2011,1422440
Ford,29,Gasoline,38,Manual transmission,2012 Ford Fiesta Hatchback,2012,2481142
Ford,29,Gasoline,38,Manual transmission,2012 Ford Fiesta Hatchback,2012,2073167
Ford,28,Gasoline,37,Manual transmission,2011 Ford Fiesta Hatchback,2011,1370359
Ford,28,Gasoline,37,Manual transmission,2011 Ford Fiesta Hatchback,2011,1585270
Honda,22,Gasoline,31,Manual transmission,2010 Honda Accord Sedan,2010,857339
Honda,21,Gasoline,31,Automatic transmission,2010 Honda Accord Sedan,2010,2029423
Honda,22,Gasoline,31,Manual transmission,2010 Honda Accord Sedan,2010,2510819
Honda,21,Gasoline,31,Automatic transmission,2010 Honda Accord Sedan,2010,541193
Honda,22,Gasoline,31,Manual transmission,2010 Honda Accord Sedan,2010,2968592
Honda,21,Gasoline,31,Automatic transmission,2010 Honda Accord Sedan,2010,2518617
Honda,22,Gasoline,31,Manual transmission,2010 Honda Accord Sedan,2010,1161453
Honda,21,Gasoline,31,Automatic transmission,2010 Honda Accord Sedan,2010,1642580
Honda,19,Gasoline,29,Automatic transmission,2010 Honda Accord Sedan,2010,2419056
Toyota,20,Gasoline,29,Automatic transmission,2011 Toyota Avalon,2011,1685261
Toyota,20,Gasoline,29,Automatic transmission,2011 Toyota Avalon,2011,1123439
Nissan,18,Gasoline,26,Automatic transmission,2009 Nissan 370Z Coupe,2009,1668849
Nissan,18,Gasoline,26,Automatic transmission,2009 Nissan 370Z Coupe,2009,1778726
Nissan,18,Gasoline,26,Manual transmission,2009 Nissan 370Z Coupe,2009,1568383
Nissan,18,Gasoline,26,Manual transmission,2009 Nissan 370Z Coupe,2009,1349091
Toyota,19,Gasoline,28,Automatic transmission,2010 Toyota Avalon,2010,2840039
Toyota,19,Gasoline,28,Automatic transmission,2010 Toyota Avalon,2010,825832
Toyota,19,Gasoline,28,Automatic transmission,2010 Toyota Avalon,2010,2648282
Toyota,22,Gasoline,33,Manual transmission,2011 Toyota Camry,2011,1149021
Toyota,22,Gasoline,32,Automatic transmission,2011 Toyota Camry,2011,1102952
Toyota,22,Gasoline,33,Manual transmission,2011 Toyota Camry,2011,502725
Toyota,22,Gasoline,32,Automatic transmission,2011 Toyota Camry,2011,1019552
Toyota,20,Gasoline,29,Automatic transmission,2011 Toyota Camry,2011,1284014
Toyota,22,Gasoline,33,Manual transmission,2011 Toyota Camry,2011,1352645
Toyota,22,Gasoline,32,Automatic transmission,2011 Toyota Camry,2011,2560016
Toyota,20,Gasoline,29,Automatic transmission,2011 Toyota Camry,2011,1083873
Toyota,22,Gasoline,32,Automatic transmission,2011 Toyota Camry,2011,1580100
Toyota,20,Gasoline,29,Automatic transmission,2011 Toyota Camry,2011,971062
Ford,26,Gasoline,36,Manual transmission,2012 Ford Focus Sedan,2012,2197051
Ford,26,Gasoline,36,Manual transmission,2012 Ford Focus Sedan,2012,1555711
Ford,25,Gasoline,35,Manual transmission,2011 Ford Focus Sedan,2011,2751609
Ford,25,Gasoline,34,Automatic transmission,2011 Ford Focus Sedan,2011,1298863
Ford,25,Gasoline,35,Manual transmission,2011 Ford Focus Sedan,2011,1076837
Ford,25,Gasoline,34,Automatic transmission,2011 Ford Focus Sedan,2011,2783624
Ford,25,Gasoline,35,Manual transmission,2011 Ford Focus Sedan,2011,1822031
Ford,25,Gasoline,34,Automatic transmission,2011 Ford Focus Sedan,2011,2640722
Ford,25,Gasoline,34,Automatic transmission,2011 Ford Focus Sedan,2011,1479809
Ford,24,Gasoline,35,Manual transmission,2010 Ford Focus Sedan,2010,1831883
Ford,24,Gasoline,34,Automatic transmission,2010 Ford Focus Sedan,2010,1999227
Ford,24,Gasoline,35,Manual transmission,2010 Ford Focus Sedan,2010,1574403
Ford,24,Gasoline,34,Automatic transmission,2010 Ford Focus Sedan,2010,1476668
Ford,24,Gasoline,35,Manual transmission,2010 Ford Focus Sedan,2010,2331359
Ford,24,Gasoline,34,Automatic transmission,2010 Ford Focus Sedan,2010,2037896
Ford,24,Gasoline,35,Manual transmission,2010 Ford Focus Sedan,2010,2980336
Ford,24,Gasoline,34,Automatic transmission,2010 Ford Focus Sedan,2010,2572757
Nissan,23,Gasoline,31,Manual transmission,2011 Nissan Altima Coupe,2011,2552948
Nissan,18,Gasoline,27,Manual transmission,2011 Nissan Altima Coupe,2011,2956553
Volvo,18,Gasoline,26,Automatic transmission,2012 Volvo S80,2012,1449309
Volvo,20,Gasoline,29,Automatic transmission,2012 Volvo S80,2012,1689390
Volvo,17,Gasoline,23,Automatic transmission,2012 Volvo XC60,2012,1156287
Volvo,19,Gasoline,25,Automatic transmission,2012 Volvo XC60,2012,2918291
Volvo,17,Gasoline,23,Automatic transmission,2012 Volvo XC60,2012,2772871
Volvo,17,Gasoline,23,Automatic transmission,2012 Volvo XC70,2012,2247297
Volvo,19,Gasoline,25,Automatic transmission,2012 Volvo XC70,2012,596252
Volvo,16,Gasoline,23,Automatic transmission,2012 Volvo XC90,2012,2930216
Volvo,16,Gasoline,23,Automatic transmission,2012 Volvo XC90,2012,1773797
Nissan,23,Gasoline,32,Manual transmission,2010 Nissan Altima Coupe,2010,1131435
Nissan,18,Gasoline,27,Manual transmission,2010 Nissan Altima Coupe,2010,979384
Toyota,22,Gasoline,33,Manual transmission,2010 Toyota Camry,2010,2294978
Toyota,22,Gasoline,32,Automatic transmission,2010 Toyota Camry,2010,1086455
Toyota,22,Gasoline,33,Manual transmission,2010 Toyota Camry,2010,2541451
Toyota,22,Gasoline,32,Automatic transmission,2010 Toyota Camry,2010,1108095
Toyota,19,Gasoline,28,Automatic transmission,2010 Toyota Camry,2010,632984
Toyota,22,Gasoline,33,Manual transmission,2010 Toyota Camry,2010,2341636
Toyota,22,Gasoline,32,Automatic transmission,2010 Toyota Camry,2010,2309763
Toyota,19,Gasoline,28,Automatic transmission,2010 Toyota Camry,2010,585391
Toyota,22,Gasoline,32,Automatic transmission,2010 Toyota Camry,2010,1422702
Toyota,19,Gasoline,28,Automatic transmission,2010 Toyota Camry,2010,1252101
Volvo,15,Gasoline,22,Automatic transmission,2010 Volvo XC90,2010,2245334
Volvo,16,Gasoline,22,Automatic transmission,2011 Volvo XC90,2011,1241593
Volvo,16,Gasoline,21,Automatic transmission,2010 Volvo XC60,2010,1338674
Volvo,17,Gasoline,22,Automatic transmission,2011 Volvo XC60,2011,2152870
Volvo,18,Gasoline,25,Automatic transmission,2011 Volvo XC60,2011,1203902
Volvo,20,Gasoline,26,Automatic transmission,2010 Volvo V50,2010,1260035
Volvo,21,Gasoline,30,Automatic transmission,2011 Volvo V50,2011,1473324
Bentley,8,,14,Automatic transmission,2012 Bentley Continental GT,2012,1097590
Bentley,10,Gasoline,17,Automatic transmission,2010 Bentley Continental GT,2010,743867
Bentley,10,Gasoline,17,Automatic transmission,2010 Bentley Continental GT,2010,1875034
Ford,24,Gasoline,35,Manual transmission,2010 Ford Focus Coupe,2010,1811367
Ford,24,Gasoline,34,Automatic transmission,2010 Ford Focus Coupe,2010,2704115
Ford,24,Gasoline,35,Manual transmission,2010 Ford Focus Coupe,2010,781606
Ford,24,Gasoline,34,Automatic transmission,2010 Ford Focus Coupe,2010,2236364
Bentley,11,Gasoline,18,Automatic transmission,2011 Bentley Continental GTC,2011,2477371
Bentley,10,Gasoline,17,Automatic transmission,2010 Bentley Continental GTC,2010,1331804
Bentley,10,Gasoline,17,Automatic transmission,2010 Bentley Continental GTC,2010,603400
Bentley,9,Gasoline,15,Automatic transmission,2010 Bentley Azure T,2010,732124
Toyota,28,Gasoline,35,Manual transmission,2011 Toyota Corolla,2011,2464640
Toyota,26,Gasoline,34,Automatic transmission,2011 Toyota Corolla,2011,1369674
Toyota,26,Gasoline,34,Automatic transmission,2011 Toyota Corolla,2011,2197285
Toyota,28,Gasoline,35,Manual transmission,2011 Toyota Corolla,2011,770946
Toyota,26,Gasoline,34,Automatic transmission,2011 Toyota Corolla,2011,1508404
Rolls-Royce,13,Gasoline,20,Automatic transmission,2010 Rolls-Royce Ghost,2010,664684
Audi,21,Gasoline,29,Automatic transmission,2011 Audi A5 Cabriolet,2011,1641867
Audi,20,Gasoline,26,Automatic transmission,2010 Audi A5 Cabriolet,2010,2068715
Rolls-Royce,11,Gasoline,18,Automatic transmission,2010 Rolls-Royce Phantom Sedan,2010,1192231
Rolls-Royce,11,Gasoline,18,Automatic transmission,2010 Rolls-Royce Phantom Sedan,2010,1565830
Audi,21,Gasoline,31,Manual transmission,2012 Audi A5 Coupe,2012,2387470
Audi,21,Gasoline,29,Automatic transmission,2012 Audi A5 Coupe,2012,1896342
Rolls-Royce,11,Gasoline,18,Automatic transmission,2010 Rolls-Royce Phantom Coupe,2010,1562173
Audi,21,Gasoline,29,Automatic transmission,2011 Audi A5 Coupe,2011,596177
Audi,21,Gasoline,31,Manual transmission,2011 Audi A5 Coupe,2011,1763908
Audi,22,Gasoline,30,Manual transmission,2010 Audi A5 Coupe,2010,2427086
Audi,18,Gasoline,27,Automatic transmission,2010 Audi A5 Coupe,2010,2950663
Audi,21,Gasoline,27,Automatic transmission,2010 Audi A5 Coupe,2010,2894810
Rolls-Royce,11,Gasoline,18,Automatic transmission,2010 Rolls-Royce Phantom Drophead Coupe,2010,1219731
Rolls-Royce,13,Gasoline,20,Automatic transmission,2011 Rolls-Royce Ghost,2011,865835
Honda,19,Gasoline,29,Automatic transmission,2010 Honda Accord Sedan,2010,2730556
Rolls-Royce,11,Gasoline,18,Automatic transmission,2011 Rolls-Royce Phantom Sedan,2011,1868306
Honda,23,Gasoline,33,Manual transmission,2011 Honda Accord Sedan,2011,943422
Honda,23,Gasoline,34,Automatic transmission,2011 Honda Accord Sedan,2011,1326260
Honda,23,Gasoline,34,Automatic transmission,2011 Honda Accord Sedan,2011,2163989
Honda,23,Gasoline,34,Automatic transmission,2011 Honda Accord Sedan,2011,836559
Honda,23,Gasoline,33,Manual transmission,2011 Honda Accord Sedan,2011,2721112
Honda,23,Gasoline,34,Automatic transmission,2011 Honda Accord Sedan,2011,2609541
Honda,20,Gasoline,30,Automatic transmission,2011 Honda Accord Sedan,2011,1860242
Honda,23,Gasoline,34,Automatic transmission,2011 Honda Accord Sedan,2011,1427031
Honda,20,Gasoline,30,Automatic transmission,2011 Honda Accord Sedan,2011,2106379
Rolls-Royce,11,Gasoline,18,Automatic transmission,2011 Rolls-Royce Phantom Sedan,2011,625561
Rolls-Royce,11,Gasoline,18,Automatic transmission,2011 Rolls-Royce Phantom Coupe,2011,1045805
Rolls-Royce,11,Gasoline,18,Automatic transmission,2011 Rolls-Royce Phantom Drophead Coupe,2011,1489949
Volkswagen,23,Gasoline,33,Manual transmission,2011 Volkswagen Jetta,2011,2509240
Volkswagen,24,Gasoline,31,Automatic transmission,2011 Volkswagen Jetta,2011,2806141
Volkswagen,23,Gasoline,29,Automatic transmission,2011 Volkswagen Jetta,2011,2187334
Volkswagen,23,Gasoline,29,Automatic transmission,2011 Volkswagen Jetta,2011,2022373
Volkswagen,24,Gasoline,31,Automatic transmission,2011 Volkswagen Jetta,2011,761186
Volkswagen,24,Gasoline,31,Automatic transmission,2011 Volkswagen Jetta,2011,1311993
Volkswagen,24,Gasoline,34,Manual transmission,2011 Volkswagen Jetta,2011,1270410
Volkswagen,24,Gasoline,31,Automatic transmission,2011 Volkswagen Jetta,2011,2971122
Volkswagen,23,Gasoline,33,Manual transmission,2011 Volkswagen Jetta,2011,2155482
Volkswagen,23,Gasoline,33,Manual transmission,2011 Volkswagen Jetta,2011,523662
Volkswagen,23,Gasoline,33,Manual transmission,2011 Volkswagen Jetta,2011,777398
Volkswagen,24,Gasoline,34,Manual transmission,2011 Volkswagen Jetta,2011,2171162
Toyota,26,Gasoline,35,Manual transmission,2010 Toyota Corolla,2010,2301459
Toyota,26,Gasoline,34,Automatic transmission,2010 Toyota Corolla,2010,1939075
Toyota,26,Gasoline,35,Manual transmission,2010 Toyota Corolla,2010,1057859
Toyota,26,Gasoline,34,Automatic transmission,2010 Toyota Corolla,2010,798575
Toyota,26,Gasoline,34,Automatic transmission,2010 Toyota Corolla,2010,1404859
Toyota,26,Gasoline,34,Automatic transmission,2010 Toyota Corolla,2010,1661536
Toyota,22,Gasoline,30,Manual transmission,2010 Toyota Corolla,2010,1324417
Toyota,22,Gasoline,30,Automatic transmission,2010 Toyota Corolla,2010,2613026
Toyota,17,Gasoline,22,Automatic transmission,2011 Toyota FJ Cruiser,2011,2036669
Toyota,15,Gasoline,20,Manual transmission,2011 Toyota FJ Cruiser,2011,2202916
Toyota,17,Gasoline,21,Automatic transmission,2011 Toyota FJ Cruiser,2011,1405411
Audi,19,Gasoline,28,Automatic transmission,2012 Audi A6 Sedan,2012,735317
Audi,18,Gasoline,26,Automatic transmission,2011 Audi A6 Sedan,2011,2204114
Volkswagen,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta,2010,2502104
Volkswagen,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta,2010,2795504
Volkswagen,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta,2010,743878
Volkswagen,22,Gasoline,30,Manual transmission,2010 Volkswagen Jetta,2010,1490117
Volkswagen,22,Gasoline,30,Manual transmission,2010 Volkswagen Jetta,2010,2424779
Volkswagen,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta,2010,647338
Volkswagen,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta,2010,1342030
Volkswagen,22,Gasoline,30,Manual transmission,2010 Volkswagen Jetta,2010,1268589
Volkswagen,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta,2010,2300183
Volkswagen,22,Gasoline,30,Manual transmission,2010 Volkswagen Jetta,2010,996099
Volkswagen,22,Gasoline,30,Manual transmission,2010 Volkswagen Jetta,2010,2123188
Volkswagen,21,Gasoline,31,Manual transmission,2010 Volkswagen Jetta,2010,1605097
Volkswagen,21,Gasoline,31,Manual transmission,2010 Volkswagen Jetta,2010,2992495
Volkswagen,30,Gasoline,41,Manual transmission,2010 Volkswagen Jetta,2010,2115706
Volkswagen,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta,2010,580991
Volkswagen,23,Gasoline,30,Automatic transmission,2010 Volkswagen Jetta,2010,2931329
Volkswagen,30,Gasoline,41,Manual transmission,2010 Volkswagen Jetta,2010,860292
Toyota,17,Gasoline,22,Automatic transmission,2010 Toyota FJ Cruiser,2010,2484780
Toyota,15,Gasoline,19,Manual transmission,2010 Toyota FJ Cruiser,2010,1173609
Toyota,17,Gasoline,21,Automatic transmission,2010 Toyota FJ Cruiser,2010,2234833
Toyota,20,Gasoline,25,Automatic transmission,2011 Toyota Highlander,2011,963652
